iter	Passed	Remaining
399	73048	109572
400	73220	109374
401	73438	109244
402	73692	109167
403	73844	108938
404	73996	108711
405	74200	108559
406	74374	108364
407	74567	108195
408	74748	108011
409	74910	107798
410	75088	107608
411	75246	107390
412	75390	107153
413	75534	106916
414	75686	106691
415	75840	106467
416	76012	106271
417	76143	106018
418	76246	105725
419	76452	105577
420	76638	105400
421	76817	105214
422	76992	105022
423	77156	104815
424	77313	104600
425	77389	104275
426	77554	104071
427	77715	103862
428	77886	103667
429	78013	103412
430	78142	103163
431	78290	102937
432	78415	102683
433	78555	102448
434	78720	102246
435	78828	101970
436	78909	101661
437	79072	101457
438	79193	101201
439	79320	100953
440	79473	100738
441	79637	100537
442	79774	100302
443	79922	100083
444	80090	99888
445	80260	99695
446	80396	99461
447	80541	99238
448	80665	98990
449	80826	98787
450	80946	98536
451	81111	98338
452	81295	98164
453	81442	97945
454	81595	97735
455	81734	97508
456	81889	97299
457	82028	97072
458	82180	96861
459	82393	96722
460	82531	96496
461	82643	96238
462	82801	96035
463	82949	95821
464	83114	95626
465	83252	95400
466	83396	95182
467	83566	94994
468	83749	94821
469	83944	94661
470	84099	94455
471	84213	94204
472	84360	93991
473	84523	93795
474	84702	93618
475	84867	93425
476	85042	93243
477	85168	93007
478	85308	92788
479	85442	92562
480	85596	92359
481	85740	92144
482	85872	91917
483	86031	91719
484	86156	91485
485	86283	91254
486	86405	91018
487	86542	90798
488	86692	90592
489	86841	90386
490	86988	90177
491	87135	89968
492	87306	89786
493	87455	89579
494	87609	89379
495	87775	89191
496	87945	89007
497	88062	88769
498	88194	88547
499	88350	88350
500	88522	88169
501	88657	87950
502	88810	87750
503	88995	87582
504	89151	87385
505	89299	87181
506	89483	87012
507	89663	86839
508	89856	86679
509	90020	86489
510	90186	86303
511	90330	86096
512	90478	85893
513	90643	85705
514	90778	85489
515	90949	85309
516	91073	85084
517	91217	84878
518	91353	84665
519	91498	84460
520	91643	84255
521	91799	84061
522	91973	83884
523	92119	83681
524	92246	83461
525	92398	83263
526	92570	83085
527	92722	82888
528	92881	82698
529	93030	82499
530	93178	82298
531	93294	82071
532	93427	81858
533	93580	81663
534	93776	81506
535	93920	81304
536	94086	81121
537	94269	80952
538	94485	80812
539	94932	80868
540	95149	80727
541	95304	80533
542	95427	80313
543	95576	80116
544	95732	79923
545	95878	79723
546	96056	79549
547	96202	79349
548	96373	79170
549	96545	78992
550	96694	78794
551	96837	78592
552	96957	78372
553	97117	78184
554	97287	78004
555	97422	77797
556	97538	77575
557	97672	77367
558	97820	77171
559	97984	76987
560	98103	76769
561	98258	76578
562	98420	76393
563	98594	76218
564	98766	76041
565	98964	75884
566	99126	75699
567	99307	75529
568	99410	75300
569	99601	75137
570	99755	74947
571	99934	74776
572	100095	74590
573	100254	74404
574	100379	74193
575	100493	73974
576	100623	73767
577	100749	73557
578	100901	73367
579	101007	73143
580	101150	72946
581	101288	72746
582	101427	72547
583	101555	72341
584	101738	72173
585	101898	71989
586	102080	71821
587	102235	71634
588	102374	71435
589	102534	71252
590	102707	71078
591	102855	70886
592	103037	70718
593	103185	70527
594	103335	70337
595	103466	70135
596	103648	69966
597	103804	69781
598	103973	69605
599	104134	69422
600	104231	69198
601	104389	69014
602	104567	68844
603	104723	68659
604	104871	68469
605	105045	68296
606	105210	68118
607	105395	67952
608	105531	67755
609	105718	67590
610	105876	67407
611	106036	67225
612	106191	67041
613	106352	66860
614	106520	66683
615	106668	66494
616	106815	66305
617	106955	66111
618	107132	65940
619	107304	65767
620	107449	65576
621	107629	65408
622	107755	65206
623	107929	65034
624	108072	64843
625	108196	64641
626	108320	64439
627	108451	64241
628	108619	64066
629	108784	63889
630	108949	63712
631	109134	63546
632	109291	63364
633	109461	63190
634	109631	63016
635	109770	62824
636	109924	62641
637	110060	62448
638	110205	62260
639	110353	62073
640	110497	61885
641	110652	61703
642	110837	61537
643	110995	61357
644	111149	61175
645	111267	60973
646	111418	60789
647	111571	60606
648	111738	60431
649	111873	60239
650	111983	60034
651	112118	59842
652	112261	59655
653	112446	59489
654	112604	59310
655	112732	59115
656	112851	58916
657	113017	58741
658	113187	58569
659	113337	58386
660	113506	58212
661	113649	58026
662	113806	57847
663	113945	57659
664	114098	57478
665	114253	57298
666	114440	57134
667	114591	56952
668	114797	56798
669	114979	56631
670	115147	56458
671	115286	56270
672	115425	56083
673	115539	55883
674	115665	55691
675	115830	55516
676	115943	55317
677	116059	55119
678	116188	54928
679	116264	54712
680	116417	54533
681	116521	54331
682	116674	54151
683	116826	53972
684	116983	53795
685	117099	53599
686	117222	53407
687	117339	53211
688	117518	53045
689	117640	52853
690	117770	52664
691	117867	52461
692	117989	52269
693	118116	52080
694	118221	51881
695	118315	51678
696	118427	51482
697	118588	51309
698	118727	51125
699	118891	50953
700	119042	50775
701	119156	50582
702	119255	50382
703	119398	50201
704	119573	50034
705	119722	49856
706	119885	49683
707	120032	49505
708	120187	49329
709	120332	49149
710	120491	48976
711	120598	48781
712	120728	48596
713	120878	48419
714	121027	48241
715	121154	48055
716	121313	47882
717	121456	47703
718	121603	47525
719	121720	47335
720	121860	47155
721	122009	46978
722	122145	46797
723	122326	46632
724	122453	46447
725	122612	46275
726	122804	46114
727	122931	45930
728	123006	45726
729	123162	45553
730	123321	45381
731	123474	45206
732	123608	45025
733	123711	44832
734	123872	44661
735	124014	44483
736	124178	44313
737	124318	44134
738	124506	43973
739	124638	43791
740	124783	43615
741	124947	43445
742	125103	43272
743	125233	43091
744	125352	42906
745	125515	42735
746	125658	42559
747	125779	42375
748	125925	42199
749	126032	42010
750	126190	41839
751	126368	41674
752	126520	41501
753	126648	41320
754	126819	41153
755	126957	40975
756	127128	40808
757	127283	40636
758	127437	40464
759	127583	40289
760	127699	40105
761	127815	39921
762	127957	39745
763	128089	39566
764	128169	39372
765	128312	39197
766	128450	39020
767	128534	38828
768	128682	38655
769	128820	38478
770	128997	38314
771	129159	38145
772	129287	37966
773	129449	37797
774	129625	37633
775	129764	37457
776	129831	37261
777	129964	37084
778	130116	36913
779	130257	36739
780	130427	36573
781	130573	36400
782	130743	36234
783	130806	36038
784	130964	35869
785	131104	35695
786	131269	35527
787	131409	35353
788	131570	35185
789	131700	35008
790	131844	34836
791	131958	34655
792	132082	34478
793	132233	34307
794	132414	34144
795	132554	33971
796	132740	33809
797	132871	33634
798	133007	33460
799	133162	33290
800	133307	33118
801	133442	32944
802	133590	32773
803	133725	32599
804	133888	32432
805	134041	32263
806	134211	32097
807	134337	31921
808	134493	31753
809	134603	31573
810	134790	31412
811	134950	31244
812	135099	31074
813	135209	30895
814	135362	30726
815	135500	30553
816	135659	30386
817	135786	30211
818	135917	30037
819	136057	29866
820	136141	29682
821	136330	29521
822	136452	29346
823	136525	29160
824	136690	28994
825	136859	28829
826	136995	28658
827	137114	28482
828	137266	28314
829	137459	28154
830	137605	27984
831	137754	27815
832	137914	27649
833	138082	27484
834	138224	27313
835	138384	27147
836	138525	26976
837	138665	26806
838	138837	26642
839	138991	26474
840	139132	26304
841	139299	26139
842	139445	25970
843	139509	25786
844	139649	25616
845	139831	25453
846	139975	25284
847	140133	25118
848	140278	24949
849	140446	24784
850	140619	24620
851	140769	24452
852	140854	24273
853	140966	24099
854	141075	23925
855	141228	23758
856	141380	23590
857	141948	23492
858	142275	23353
859	142563	23207
860	142821	23057
861	143215	22927
862	143505	22781
863	143818	22638
864	143991	22472
865	144408	22344
866	144757	22206
867	145073	22061
868	145486	21931
869	145786	21784
870	145985	21621
871	146271	21471
872	147179	21410
873	147436	21255
874	147876	21125
875	148269	20987
876	148598	20841
877	148977	20700
878	149338	20557
879	149733	20418
880	149965	20256
881	150318	20110
882	150697	19967
883	151009	19815
884	151309	19661
885	151587	19504
886	152036	19368
887	152333	19213
888	152595	19052
889	152926	18901
890	153229	18745
891	153633	18601
892	153963	18448
893	154059	18266
894	154284	18100
895	154522	17935
896	154747	17769
897	154961	17601
898	155134	17428
899	155215	17246
900	155357	17070
901	155500	16894
902	155656	16720
903	155764	16541
904	155926	16367
905	156036	16189
906	156172	16013
907	156227	15829
908	156397	15656
909	156518	15479
910	156599	15298
911	156728	15122
912	156903	14951
913	157068	14778
914	157218	14604
915	157395	14433
916	157534	14258
917	157689	14085
918	157827	13910
919	157989	13738
920	158129	13563
921	158320	13393
922	158439	13217
923	158606	13045
924	158742	12871
925	158913	12699
926	159044	12524
927	159186	12350
928	159368	12179
929	159513	12006
930	159639	11831
931	159796	11658
932	159876	11480
933	160044	11309
934	160116	11131
935	160251	10957
936	160410	10785
937	160546	10611
938	160707	10440
939	160878	10268
940	161042	10097
941	161172	9923
942	161351	9752
943	161504	9580
944	161639	9407
945	161795	9235
946	161951	9063
947	162064	8889
948	162206	8717
949	162336	8544
950	162481	8371
951	162622	8199
952	162754	8026
953	162929	7856
954	163102	7685
955	163264	7514
956	163439	7343
957	163612	7172
958	163709	6999
959	163881	6828
960	164025	6656
961	164185	6485
962	164368	6315
963	164478	6142
964	164674	5972
965	164850	5802
966	165045	5632
967	165205	5461
968	165371	5290
969	165520	5119
970	165656	4947
971	165790	4775
972	165944	4604
973	166089	4433
974	166275	4263
975	166441	4092
976	166594	3921
977	166724	3750
978	166857	3579
979	166935	3406
980	167091	3236
981	167250	3065
982	167390	2894
983	167538	2724
984	167679	2553
985	167815	2382
986	167945	2212
987	168024	2040
988	168167	1870
989	168250	1699
990	168407	1529
991	168563	1359
992	168672	1189
993	168813	1018
994	168988	849
995	169159	679
996	169323	509
997	169461	339
998	169633	169
999	169769	0
